gds_layer,gray_level,height_um,height_frac_of_max
1,1,0.0780,0.00521
2,2,0.1560,0.01042
3,3,0.2340,0.01562
4,4,0.3120,0.02083
5,5,0.3900,0.02604
6,6,0.4680,0.03125
7,7,0.5460,0.03646
8,8,0.6240,0.04167
9,9,0.7020,0.04688
10,10,0.7800,0.05208
11,11,0.8580,0.05729
12,12,0.9360,0.06250
13,13,1.0140,0.06771
14,14,1.0920,0.07292
15,15,1.1700,0.07812
16,16,1.2480,0.08333
17,17,1.3260,0.08854
18,18,1.4040,0.09375
19,19,1.4820,0.09896
20,20,1.5600,0.10417
21,21,1.6380,0.10938
22,22,1.7160,0.11458
23,23,1.7940,0.11979
24,24,1.8720,0.12500
25,25,1.9500,0.13021
26,26,2.0280,0.13542
27,27,2.1060,0.14062
28,28,2.1840,0.14583
29,29,2.2620,0.15104
30,30,2.3400,0.15625
31,31,2.4180,0.16146
32,32,2.4960,0.16667
33,33,2.5740,0.17188
34,34,2.6520,0.17708
35,35,2.7300,0.18229
36,36,2.8080,0.18750
37,37,2.8860,0.19271
38,38,2.9640,0.19792
39,39,3.0420,0.20312
40,40,3.1200,0.20833
41,41,3.1980,0.21354
42,42,3.2760,0.21875
43,43,3.3540,0.22396
44,44,3.4320,0.22917
45,45,3.5100,0.23438
46,46,3.5880,0.23958
47,47,3.6660,0.24479
48,48,3.7440,0.25000
49,49,3.8220,0.25521
50,50,3.9000,0.26042
51,51,3.9780,0.26562
52,52,4.0560,0.27083
53,53,4.1340,0.27604
54,54,4.2120,0.28125
55,55,4.2900,0.28646
56,56,4.3680,0.29167
57,57,4.4460,0.29688
58,58,4.5240,0.30208
59,59,4.6020,0.30729
60,60,4.6800,0.31250
61,61,4.7580,0.31771
62,62,4.8360,0.32292
63,63,4.9140,0.32812
64,64,4.9920,0.33333
65,65,5.0700,0.33854
66,66,5.1480,0.34375
67,67,5.2260,0.34896
68,68,5.3040,0.35417
69,69,5.3820,0.35938
70,70,5.4600,0.36458
71,71,5.5380,0.36979
72,72,5.6160,0.37500
73,73,5.6940,0.38021
74,74,5.7720,0.38542
75,75,5.8500,0.39062
76,76,5.9280,0.39583
77,77,6.0060,0.40104
78,78,6.0840,0.40625
79,79,6.1620,0.41146
80,80,6.2400,0.41667
81,81,6.3180,0.42188
82,82,6.3960,0.42708
83,83,6.4740,0.43229
84,84,6.5520,0.43750
85,85,6.6300,0.44271
86,86,6.7080,0.44792
87,87,6.7860,0.45312
88,88,6.8640,0.45833
89,89,6.9420,0.46354
90,90,7.0200,0.46875
91,91,7.0980,0.47396
92,92,7.1760,0.47917
93,93,7.2540,0.48438
94,94,7.3320,0.48958
95,95,7.4100,0.49479
96,96,7.4880,0.50000
97,97,7.5660,0.50521
98,98,7.6440,0.51042
99,99,7.7220,0.51562
100,100,7.8000,0.52083
101,101,7.8780,0.52604
102,102,7.9560,0.53125
103,103,8.0340,0.53646
104,104,8.1120,0.54167
105,105,8.1900,0.54688
106,106,8.2680,0.55208
107,107,8.3460,0.55729
108,108,8.4240,0.56250
109,109,8.5020,0.56771
110,110,8.5800,0.57292
111,111,8.6580,0.57812
112,112,8.7360,0.58333
113,113,8.8140,0.58854
114,114,8.8920,0.59375
115,115,8.9700,0.59896
116,116,9.0480,0.60417
117,117,9.1260,0.60938
118,118,9.2040,0.61458
119,119,9.2820,0.61979
120,120,9.3600,0.62500
121,121,9.4380,0.63021
122,122,9.5160,0.63542
123,123,9.5940,0.64062
124,124,9.6720,0.64583
125,125,9.7500,0.65104
126,126,9.8280,0.65625
127,127,9.9060,0.66146
128,128,9.9840,0.66667
129,129,10.0620,0.67188
130,130,10.1400,0.67708
131,131,10.2180,0.68229
132,132,10.2960,0.68750
133,133,10.3740,0.69271
134,134,10.4520,0.69792
135,135,10.5300,0.70312
136,136,10.6080,0.70833
137,137,10.6860,0.71354
138,138,10.7640,0.71875
139,139,10.8420,0.72396
140,140,10.9200,0.72917
141,141,10.9980,0.73438
142,142,11.0760,0.73958
143,143,11.1540,0.74479
144,144,11.2320,0.75000
145,145,11.3100,0.75521
146,146,11.3880,0.76042
147,147,11.4660,0.76562
148,148,11.5440,0.77083
149,149,11.6220,0.77604
150,150,11.7000,0.78125
151,151,11.7780,0.78646
152,152,11.8560,0.79167
153,153,11.9340,0.79688
154,154,12.0120,0.80208
155,155,12.0900,0.80729
156,156,12.1680,0.81250
157,157,12.2460,0.81771
158,158,12.3240,0.82292
159,159,12.4020,0.82812
160,160,12.4800,0.83333
161,161,12.5580,0.83854
162,162,12.6360,0.84375
163,163,12.7140,0.84896
164,164,12.7920,0.85417
165,165,12.8700,0.85938
166,166,12.9480,0.86458
167,167,13.0260,0.86979
168,168,13.1040,0.87500
169,169,13.1820,0.88021
170,170,13.2600,0.88542
171,171,13.3380,0.89062
172,172,13.4160,0.89583
173,173,13.4940,0.90104
174,174,13.5720,0.90625
175,175,13.6500,0.91146
176,176,13.7280,0.91667
177,177,13.8060,0.92188
178,178,13.8840,0.92708
179,179,13.9620,0.93229
180,180,14.0400,0.93750
181,181,14.1180,0.94271
182,182,14.1960,0.94792
183,183,14.2740,0.95312
184,184,14.3520,0.95833
185,185,14.4300,0.96354
186,186,14.5080,0.96875
187,187,14.5860,0.97396
188,188,14.6640,0.97917
189,189,14.7420,0.98438
190,190,14.8200,0.98958
191,191,14.8980,0.99479
192,192,14.9760,1.00000
